INFO: TIME: 2021/10/12 08:20:01 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:02 Отправляем по главному give-me-TCPMain
INFO: TIME: 2021/10/12 08:20:02 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:03 Отправляем по главному give-me-TCPSec
INFO: TIME: 2021/10/12 08:20:04 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:16 KEEP Alive для 8
INFO: TIME: 2021/10/12 08:20:16 Команда give-me-SetupDK для 8
INFO: TIME: 2021/10/12 08:20:16 Команда give-me-TCPMain для 8
INFO: TIME: 2021/10/12 08:20:16 Команда give-me-TCPSec для 8
INFO: TIME: 2021/10/12 08:20:17 Отправляем по главному give_me_status,1634005216
INFO: TIME: 2021/10/12 08:20:17 Получили по главному state={"tech":0,"base":false,"pk":0,"ck":0,"nk":0,"tmax":0,"comdu":{"IsPK":false,"IsCK":false,"IsNK":false,"IsDUDK1":false,"IsDUDK2":false,"IsReqSFDK1":false,"IsReqSFDK2":false},"dk":{"rdk":0,"fdk":0,"ddk":0,"edk":0,"pdk":false,"eedk":0,"odk":false,"ldk":0,"ftudk":0,"tdk":0,"ftsdk":0,"ttcdk":0}}
INFO: TIME: 2021/10/12 08:20:17 Обмен с устройством 8 ETH прекращается
INFO: TIME: 2021/10/12 08:20:17 Обмен с устройством 8 ETH прекращен
INFO: TIME: 2021/10/12 08:20:17 Приказано умереть 8
INFO: TIME: 2021/10/12 08:20:18 Отправляем по главному give-me-SetupDK
